Age Group,Male Count,Female Count,Male %,Female %
Children (0-17),48021711.0,45760013.0,51.20583089302133,48.79416910697867
Adults (18-59),49722824.0,47554464.0,51.114525314480396,48.885474685519604
Elderly (60+),4746139.0,4977493.0,48.81035193433894,51.18964806566106
