Month,Value
January,32.89637186908924
February,32.56440035016049
March,32.77823059942265
April,32.05053563111318
May,32.27575268197024
June,34.59962172705243
July,36.715353851504084
August,39.48430105044442
September,41.67819376964847
October,40.77611092169565
November,38.30484975055111
December,33.97713533249536
